,$,(,),+,-,;,addop,float,id,if,int,mulop,num,relop,while,},
STATEMENT_LIST,sync,N/A,N/A,N/A,N/A,N/A,N/A,--> STATEMENT STATEMENT_LIST` ,--> STATEMENT STATEMENT_LIST` ,--> STATEMENT STATEMENT_LIST` ,--> STATEMENT STATEMENT_LIST` ,N/A,N/A,N/A,--> STATEMENT STATEMENT_LIST` ,N/A,
STATEMENT_LIST`,epsilon,N/A,N/A,N/A,N/A,N/A,N/A,--> STATEMENT STATEMENT_LIST` ,--> STATEMENT STATEMENT_LIST` ,--> STATEMENT STATEMENT_LIST` ,--> STATEMENT STATEMENT_LIST` ,N/A,N/A,N/A,--> STATEMENT STATEMENT_LIST` ,N/A,
IF,sync,N/A,N/A,N/A,N/A,N/A,N/A,sync,sync,--> if ( EXPRESSION ) { STATEMENT } else { STATEMENT } ,sync,N/A,N/A,N/A,sync,sync,
DECLARATION,sync,N/A,N/A,N/A,N/A,N/A,N/A,--> PRIMITIVE_TYPE id ; ,sync,sync,--> PRIMITIVE_TYPE id ; ,N/A,N/A,N/A,sync,sync,
FACTOR,N/A,--> ( EXPRESSION ) ,sync,N/A,N/A,sync,sync,N/A,--> id ,N/A,N/A,sync,--> num ,sync,N/A,N/A,
EXPRESSION,N/A,--> SIMPLE_EXPRESSION EXPRESSION1 ,sync,--> SIMPLE_EXPRESSION EXPRESSION1 ,--> SIMPLE_EXPRESSION EXPRESSION1 ,sync,N/A,N/A,--> SIMPLE_EXPRESSION EXPRESSION1 ,N/A,N/A,N/A,--> SIMPLE_EXPRESSION EXPRESSION1 ,N/A,N/A,N/A,
PRIMITIVE_TYPE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,--> float ,sync,N/A,--> int ,N/A,N/A,N/A,N/A,N/A,
STATEMENT,sync,N/A,N/A,N/A,N/A,N/A,N/A,--> DECLARATION ,--> ASSIGNMENT ,--> IF ,--> DECLARATION ,N/A,N/A,N/A,--> WHILE ,sync,
ASSIGNMENT,sync,N/A,N/A,N/A,N/A,N/A,N/A,sync,--> id = EXPRESSION ; ,sync,sync,N/A,N/A,N/A,sync,sync,
SIMPLE_EXPRESSION,N/A,--> TERM SIMPLE_EXPRESSION` ,sync,--> SIGN TERM SIMPLE_EXPRESSION` ,--> SIGN TERM SIMPLE_EXPRESSION` ,sync,N/A,N/A,--> TERM SIMPLE_EXPRESSION` ,N/A,N/A,N/A,--> TERM SIMPLE_EXPRESSION` ,sync,N/A,N/A,
TERM`,N/A,N/A,epsilon,N/A,N/A,epsilon,epsilon,N/A,N/A,N/A,N/A,--> mulop FACTOR TERM` ,N/A,epsilon,N/A,N/A,
METHOD_BODY,sync,N/A,N/A,N/A,N/A,N/A,N/A,--> STATEMENT_LIST ,--> STATEMENT_LIST ,--> STATEMENT_LIST ,--> STATEMENT_LIST ,N/A,N/A,N/A,--> STATEMENT_LIST ,N/A,
SIMPLE_EXPRESSION`,N/A,N/A,epsilon,N/A,N/A,epsilon,--> addop TERM SIMPLE_EXPRESSION` ,N/A,N/A,N/A,N/A,N/A,N/A,epsilon,N/A,N/A,
EXPRESSION1,N/A,N/A,epsilon,N/A,N/A,epsilon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,--> relop SIMPLE_EXPRESSION ,N/A,N/A,
WHILE,sync,N/A,N/A,N/A,N/A,N/A,N/A,sync,sync,sync,sync,N/A,N/A,N/A,--> while ( EXPRESSION ) { STATEMENT } ,sync,
SIGN,N/A,sync,N/A,--> + ,--> - ,N/A,N/A,N/A,sync,N/A,N/A,N/A,sync,N/A,N/A,N/A,
TERM,N/A,--> FACTOR TERM` ,sync,N/A,N/A,sync,sync,N/A,--> FACTOR TERM` ,N/A,N/A,N/A,--> FACTOR TERM` ,sync,N/A,N/A,
